pubblicata_da;anno_rif;cup;cup_master;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;codice_natura_opera;natura_opera;tipologia_opera_incompiuta;codice_tipologia_cup;tipologia_cup;localizz_cod_istat;localizz_cod_nuts;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;settore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_necesari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria_statale;copertura_finanziaria_regionale;copertura_finanziaria_provinciale;copertura_finanziaria_comunale;altra_copertura_finanziaria_pubblica;copertura_finanziaria_privata;comunitaria;mancanza_fondi;cause_tecniche;soprav_nuove_norme_tec_disp_legge;fallim_liq_coatta_e_conc_prev;mancato_interesse_al_compl;opera_fruibile_dalla_collettivita;possibile_uso_ridim;destinazione_uso_alternativa;sentito_demanio;destinazione_uso_opera;opera_inserita_in_infrastruttura_rete;incomp_costituisce_discont_rete;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;struttura_unica;tipo_indirizzo;indirizzo;strumento_programmazione;descrizionestrumento_programmazione;altre_informazioni;livello_sviluppo;utilita_per_collettivita;id_trasm_elenco;lat;lon
Regione Lombardia;2016;C79G01000000007;null;null;COMUNE DI SANTA MARIA DELLA VERSA;84001190184;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;3;RECUPERO;3018143;null;Regionale;REALIZZAZIONE OPERE DI URBANIZZAZIONE PIANO DI RECUPERO CASCINA CORAGLIA*CORAGLIA*REALIZZAZIONE OPERE DI URBANIZZAZIONE PIANO DI RECUPERO CASCINA CORAGLIA;REALIZZAZIONE OPERE DI URBANIZZAZIONE PIANO DI RECUPERO CASCINA CORAGLIA*CORAGLIA*REALIZZAZIONE OPERE DI URBANIZZAZIONE PIANO DI RECUPERO CASCINA CORAGLIA;Mq;2.020,00;2;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;1;RIUTILIZZAZIONE E RECUPERO DI AREE DISMESSE;null;No;123.615,28;101.324,00;0,01;No;null;0;T;N;101.324,00;0,00;null;null;null;null;null;Si;null;null;Si;null;null;null;Si;No;null;null;In progetto per l'opera;No;No;2001;null;null;REALIZZAZIONE OPERE DI URBANIZZAZIONE PIANO DI RECUPERO CASCINA CORAGLIA;No;null;CORAGLIA;0;null;null;Art.4 c. 2 Lett. g);3;null;44.9882779628251;9.30894714461818
Regione Lombardia;2016;B44E07000120004;null;null;COMUNE DI MILANO;1199250158;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;4;RISTRUTTURAZIONE;3015146;null;Regionale;STRADE COMUNALI*VIA DA P.ZZA ZAVATTARI A P.ZZA BRESCIA*PIANO DEI TRASPORTI LINEA CIRCOLARE 90-91 SEDE RISERVATA DA P.ZZA ZAVATTARI A P.ZZA BRESCIA;STRADE COMUNALI*VIA DA P.ZZA ZAVATTARI A P.ZZA BRESCIA*PIANO DEI TRASPORTI LINEA CIRCOLARE 90-91 SEDE RISERVATA DA P.ZZA ZAVATTARI A P.ZZA BRESCIA;Ml;980,00;1;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;16.000.000,00;9.365.623,52;0,01;Si;6.634.376,48;0;N;N;16.000.000,00;16.000.000,00;null;null;null;Si;null;null;null;null;Si;null;null;null;No;No;null;null;In progetto per l'opera;Si;Si;2007;null;null;STRADE COMUNALI;No;null;VIA DA P.ZZA ZAVATTARI A P.ZZA BRESCIA;99;PROGRAMMA DI INTERESSE LOCALE;null;Art.4 c. 2 Lett. g);5;null;45.4684450808024;9.17291989229152
Regione Marche;2016;C54F04000000001;null;Regionale;comune di petriano;360540413;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;99;ALTRO;11041045;ITE31;Regionale;Recupero ambientale Fiume Apsa - Parco Fluviale Urbano;Riprofilatura degli argini e della sezione dell'alveo, realizzazione di scogliere e briglie in pietra, realizzazione di interventi di Ingegneria Naturalistica per consolidamento argini e zona spondali, del Torrente Apsa sito nel Comune di Petriano (PU).;Ml;1.109,00;2;11;OPERE DI PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;124;STRUTTURE PER LA FRUIZIONE DEL PATRIMONIO AMBIENTALE;null;No;2.418.340,00;1.714.000,00;1.047.057,00;Si;704.340,00;43,3;null;null;1.714,00;1.714,00;Si;null;null;null;null;null;null;Si;No;No;No;No;Si;No;null;null;In progetto per l'opera;No;null;2004;29/11/2004;null;null;No;null;null;99;RIPROFILATURA SEZIONE ALVEO E ARGINATURE TORRENTE;RIPROFILATURA SEZIONE ALVEO E ARGINATURE TORRENTE;Art.4 c. 2 Lett. e);null;3,61E+27;43.7819234298981;12.716980725656
Regione Marche;2016;B32J08000060001;null;Nazionale;Comune di Urbino;82004510416;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;99;ALTRO;11041067;ITE31;Nazionale;RISANAMENTO VERSANTE S.E. DEL CENTRO STORICO CON COSTRUZIONE ASSE ATTREZZATO E IMPIANTO DI RISALITA DA EX FORNACE VOLPONI A VIA SANTA CHIARA;RISANAMENTO VERSANTE SUD EST DEL CENTRO STORICO;nu;17.547.000,00;2;5;DIFESA DEL SUOLO;999;ALTRE OPERE DI DIFESA DEL SUOLO;34612200-2;No;17.547.000,00;14.979.926,07;2.510.000,21;Si;15.036.999,79;8,36;N;null;2.000,00;2.000,00;Si;null;null;null;null;null;null;Si;No;No;Si;No;Si;No;null;null;In progetto per l'opera;Si;No;2008;16/07/2008;null;VERSANTE SUD EST;No;null;BASTIONE S, CHIARA;99;null;null;Art.4 c. 2 Lett. e);null;8,20E+31;43.7396968341178;12.6241478421236
Regione Marche;2016;G51B70000000001;null;Regionale;SASSOFELTRIO;360430417;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;11041060;null;Regionale;Costruzione strada di collegamento Gesso-Fratte;COSTRUZIONE STRADA GESSO-FRATTE;Ml;3.000,00;1;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;3.000.000,00;3.000.000,00;0,00;Si;3.000.000,00;0;N;null;3.000,00;3.000,00;Si;null;null;null;null;null;null;Si;Si;No;No;No;Si;Si;null;null;In progetto per l'opera;Si;Si;1970;30/03/2016;null;STRADA GESSO-FRATTE;No;null;VIA GESSO-FRATTE;99;Bilancio comunale;null;Art.4 c. 2 Lett. e);null;3,60E+27;43.8904572188266;12.4805375216002
Regione Marche;2016;G53G09000200001;null;Regionale;SASSOFELTRIO;360430417;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;11041060;null;Regionale;Bonifica del movimento franoso in loc. C??? La Palma;BONIFICA MOVIMENTO FRANOSO LOC. C? LA PALMA;Mq;3.000,00;2;5;DIFESA DEL SUOLO;121;DIFESA DEL SUOLO E REGIMAZIONE ACQUE;null;No;1.500.000,00;1.500.000,00;0,00;Si;1.500.000,00;0;N;null;1.500,00;1.500,00;Si;null;null;null;null;null;null;Si;No;No;No;No;Si;Si;null;null;In progetto per l'opera;Si;Si;2009;30/03/2016;null;C? LA PALMA;No;null;VIA C? LA PALMA;99;BILANCIO COMUNALE;null;Art.4 c. 2 Lett. e);null;3,60E+27;43.8904572188266;12.4805375216002
Regione Marche;2016;B32J10000010002;null;Nazionale;Comune di Urbino;82004510416;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;7;MANUTENZIONE STRAORDINARIA;11041067;ITE31;Nazionale;Opera di sistemazione e valorizzazione del versante in localit??? Mondolce di Urbino;SISTEMAZIONE E VALORIZZAZIONE;Mq;10.000,00;2;5;DIFESA DEL SUOLO;121;DIFESA DEL SUOLO E REGIMAZIONE ACQUE;45332300-6;No;2.460.000,00;2.057.602,32;290.000,00;Si;2.170.000,00;6,86;N;null;160,00;160,00;null;Si;null;null;null;null;null;Si;No;No;No;No;Si;Si;null;No;Alternativa per l'opera;No;null;2010;01/02/2010;null;VERSANTE IN LOC. MONDOLCE DI URBINO;No;null;LOC. MONDOLCE;0;null;null;Art.4 c. 2 Lett. f);null;8,20E+31;43.7396968341178;12.6241478421236
Regione Marche;2016;J14J05000000004;null;Regionale;COMUNE DI FOLIGNANO;362290447;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;11044020;null;Regionale;BELVEDERE PRIMO STRALCIO - SALA CONSILIARE;RIQUALIFICAZIONE STRUTTURA BELEVEDERE E REALIZZAZIONE SALA CONSILIARE;Mq;300,00;5;33;DIREZIONALI E AMMINISTRATIVE;3;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;45454000-4;No;410.000,00;337.667,45;346.408,64;Si;400.000,00;46,96;null;null;350,00;350,00;null;null;null;Si;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2005;24/10/2005;null;null;No;null;null;99;Intervento previsto don delibera di G.C. n. 147 del 18/10/05;Intervento previsto don delibera di G.C. n. 147 del 18/10/05;Art.4 c. 2 Lett. g);null;3,62E+27;42.8213667522543;13.6486980380736
Regione Marche;2016;D88J05000070001;null;Regionale;E.R.S.U. di Ancona (Ente Regionale per il Diritto allo Studio Universitario);510240427;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;3;RECUPERO;11042002;ITE32;Regionale;recupero e risanamento conservativo dell'immobile Buon Pastore da adibire a residenza universitaria e servizi;recupero e risanamento conservativo dell'immobile Buon Pastore da adibire a residenza universitaria e servizi;npl;144,00;5;8;SOCIALI E SCOLASTICHE;85;EDILIZIA UNIVERSITARIA;45214710-0;No;15.457.660,12;10.436.911,00;4.594.620,33;null;null;44,02;null;null;12.236,66;12.236,66;Si;null;null;null;null;null;null;No;Si;Si;No;No;No;Si;null;null;In progetto per l'opera;No;null;2005;05/08/2005;null;null;No;null;null;99;LEGGE N. 338/2000;LEGGE N. 338/2000;Art.4 c. 2 Lett. g);null;5,10E+27;43.5727113144653;13.4918590188619
Regione Marche;2016;B32J08000060001;null;Nazionale;Comune di Urbino;82004510416;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;7;MANUTENZIONE STRAORDINARIA;11041067;ITE31;Nazionale;Risanamento del versante Sud est del centro storico di Urbino;RISANAMENTO VERSANTE SUD EST DEL CENTRO STORICO;Mc;13.000,00;2;5;DIFESA DEL SUOLO;999;ALTRE OPERE DI DIFESA DEL SUOLO;45332300-6;No;3.880.000,00;3.319.000,00;1.506.954,71;Si;1.880.000,00;28,99;N;null;2.000,00;2.000,00;Si;null;null;null;null;null;null;Si;Si;No;Si;No;No;No;null;null;In progetto per l'opera;Si;Si;2008;16/07/2008;null;VERSANTE SUD EST;No;null;BASTIONE S, CHIARA;99;DELIBERA PIANO ANNUALE TRIENNALE 2008-2010.;null;Art.4 c. 2 Lett. g);null;8,20E+31;43.7396968341178;12.6241478421236
Regione Marche;2016;D16G02000040004;null;Regionale;COMUNE DI COLLI DEL TRONTO;355250440;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;11044014;null;Regionale;REALIZZAZIONE SOTTOPASSO FERROVIARIO IN VIA FOSCOLO;COMPLETAMENTO SOTTOPASSO FERROVIARIO;Ml;320,00;1;1;STRADALI;999;ALTRE OPERE STRADALI;45200000-9;No;1.259.890,81;1.360.000,00;620.617,00;Si;902.512,20;27,43;N;null;700,00;700,00;null;null;null;Si;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;Si;Si;2002;27/08/2013;null;COMPLETAMENTO SOTTOPASSO FERROVIARIO;No;null;VIA FOSCOLO;0;null;null;Art.4 c. 2 Lett. g);null;3,55E+27;42.8702694259315;13.7455725252986
Regione Marche;2016;B64H95000000002;null;Regionale;Ente Regionale per l'Abitazione Pubblica (ERAP) delle Marche - Presidio di Macerata;2573290422;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;11043057;ITE33;Regionale;Lavori di costruzione di 4 alloggi ERP in loc. Vallopa del Comune di Visso (MC);COSTRUZIONE DI QUATTRO ALLOGGI ERP;Mq;1.118,22;5;10;ABITATIVE;103;FABBRICATI RESIDENZIALI URBANI;45200000-9;No;653.369,62;478.445,67;132.693,37;Si;100.000,00;22,94;N;null;653,37;653,37;null;Si;null;null;null;null;null;Si;null;Si;null;null;No;Si;null;null;In progetto per l'opera;No;null;1995;26/09/2013;null;COSTRUZIONE DI 4 ALLOGGI ERP IN LOC. VALLOPA;No;null;VALLOPA;0;null;null;Art.4 c. 2 Lett. g);null;2,57E+29;42.9358667169798;13.0517830662724
Regione Marche;2016;G29J08000020004;null;Regionale;Comune di Castelfidardo;123220428;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;11042010;null;Regionale;LAVORI DI COSTRUZIONE NUOVA SCUOLA MEDIA IN VIA MONTESSORI I LOTTO;REALIZZAZIONE STRUTTURA IN C.A. NUOVA SCUOLA MEDIA CON PALESTRA ED AUDITORIUM.;Mc;3.700.000,00;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45214000-0;No;3.700.000,00;3.700.000,00;146.671,01;Si;3.553.328,99;2,02;N;null;6.000,00;6.000,00;null;null;null;Si;null;null;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2008;20/02/2008;null;COSTRUZIONE NUOVA SCUOLA MEDIA.;No;null;VIA MONTESSORI;99;ELENCO ANNUALE 2008;null;Art.4 c. 2 Lett. g);null;1,23E+27;43.4643980748763;13.5630719370206
Regione Marche;2016;I19H07000190004;null;Regionale;Comune di Grottammare;82000670446;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;11044023;ITE34;Regionale;NUOVO POLO SCOLASTICO COMPRENSIVO IN ZONA ISCHIA;REALIZZAZIONE POLO SCOLASTICO COMPRENSIVO (MATERNA, ELEMENTARE, MEDIA);na;38,00;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45214200-2;No;5.850.000,00;4.450.000,00;0,00;Si;5.270.000,00;0;N;null;5.270,00;5.270,00;null;null;null;Si;null;null;null;No;No;No;Si;No;No;No;null;null;In progetto per l'opera;No;null;2007;20/08/2008;null;NUOVO POLO SCOLASTICO COMPRENSIVO IN ZONA ISCHIA;No;null;VIA S. D'ACQUISTO;99;PROGRAMMA TRIENNALE ED ELENCO ANNUALE.;null;Art.4 c. 2 Lett. g);null;8,20E+31;42.9804292369208;13.8507290905117
Regione Marche;2016;D28D11000300005;null;Regionale;azienda specializzata settore multiservizi SpA;1210690432;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;4;RISTRUTTURAZIONE;11043053;null;Regionale;potenziamento e riclassamento della sezione Mt di Ributino;POTENZIAMENTO E RICLASSAMENTO DELLA SEZIONE DI MEDIA TENSIONE;Kw;32.000,00;3;16;DISTRIBUZIONE DI ENERGIA;66;IMPIANTI DI DISTRIBUZIONE ELETTRICA CIVILE E INDUSTRIALE;45231000-5;No;827.520,00;759.940,00;0,00;Si;568.394,00;0;N;null;759,94;759,94;null;null;null;null;Si;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;Si;Si;2011;12/08/2011;16/03/2017;LINEA ELETTRICA;No;null;RIBUTINO;99;PIANO DI BUDGET AZIENDALE;null;Art.4 c. 2 Lett. g);null;1,21E+29;43.2080334112735;13.312553119667
Regione Molise;2016;H22D08000040002;null;Regionale;Amministrazione Provinciale di Isernia;80051970947;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;1;NUOVA REALIZZAZIONE;14094020;null;Regionale;Centro Servizi Territoriali per produttori Agro-Alimentari e dell'Artigianato Rurale della Provincia di Isernia;REALIZZAZIONE;Mq;1.000,00;6;13;OPERE, IMPIANTI  ED ATTREZZATURE PER L'AGRICOLTURA, LA ZOOTECNIA E LA SILVICOLTURA;999;ALTRE OPERE E STRUTTURE PER L'AGRICOLTURA;45213000-3;No;714.099,39;497.380,45;497.299,22;Si;100.000,00;83,25;N;null;1.000,00;1.000,00;null;Si;null;null;null;null;null;Si;null;null;null;null;No;No;null;null;In progetto per l'opera;No;null;2008;08/01/2009;null;CENTRO SERVIZI TERRITORIALI;No;null;VIA SS 17 VAR;1;DELIBERA CIPE N? 3 DEL 22 MARZO 2006;STRUTTURA PREFABBRICATA DI CIRCA 700 MQ SU UNICO LIVELLO  PER CENTRO SERVIZI TERRITORIALI PER PRODUTTORI AGRO ALIMENTARI E ARTIGIANATO RURALE - I? LOTTO;Art.4 c. 2 Lett. d);null;8,01E+31;41.6879076528688;14.1843176104717
Regione Molise;2016;G45C04000010002;null;Regionale;COMUNE DI TERMOLI;67530709;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;14070078;ITF22;Regionale;APQ TUTELA DELLA ACQUE E GESTIONE DELLE RISORSE IDRICHE INTERVENTI URGENTI PER L'ADEGUAMENTO ALLE NORME COMUNITARIE COLLETTAMENTO E DEPURAZIONE - 1??? STRALCIO;RETE FOGNANTE E MODULO DEPURATIVO PER N. 12500 ABITANTI EQUIVALENTI;nu;5.657.362,40;2;10;OPERE DI SMALTIMENTO REFLUI E RIFIUTI;999;ALTRE OPERE DI SMALTIMENTO REFLUI E RIFIUTI;45232421-9;No;5.657.362,40;4.617.491,78;3.078.856,74;No;null;66,68;null;null;4.544,82;4.544,82;null;Si;null;null;null;null;null;No;No;No;Si;No;Si;No;null;null;In progetto per l'opera;Si;No;2004;15/12/2004;null;null;No;null;null;99;RETE FOGNARIA E DEPURAZIONE;RETE FOGNARIA E DEPURAZIONE;Art.4 c. 2 Lett. e);null;6,75307E+14;41.9816651255329;14.9625575347574
Regione Puglia;2016;J23E06000070006;null;Regionale;COMUNE DI MINERVINO MURGE;81002110724;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;4;RISTRUTTURAZIONE;16110006;null;Regionale;Recupero funzionale ex cinema moderno;RISTRUTTURAZIONE E RIUSO DELL'EX CINEMA MODERNO;Mq;450,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;null;No;1.000.000,00;623.170,87;623.170,87;null;null;100;N;null;1.000,00;1.000,00;null;Si;null;Si;null;null;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2006;22/11/2008;null;IMMOBILE DI PROPRIETA' COMUNALE;No;null;VIA CHIUSO PIAZZA;99;FINANZIAMENTO REGIONALE E COFINANZIAMENTO COMUNALE;null;Art.4 c. 2 Lett. a);null;8,10E+31;41.080791242214;16.0795260717076
Regione Molise;2016;F76G02000070003;null;Regionale;"COMUNITA' MONTANA ""TRIGNO - MONTE MAURO""";82004200703;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;14070001;ITF22;Regionale;Legge n. 64/1986 - Deliberazioni CIPE 21.12.1989 e 13.04.1994 - STRALCIO AL III??? P.A.A. - LAVORI DI COSTRUZIONE STRADA DI COLLEGAMENTO DEL COMUNE DI CASTELMAURO CON LA F.V. DEL BIFERNO - LOTTO DI COMPLETAMENTO;COMPLETAMENTO COLLEGAMENTO TRASVERSALE TRA FONDOVALLE BIFERNO E FONDOVALLE TRIGNO, SECONDO LA DIRETTIRICE ROCCAVIVARA-GUARDIALFIERA, CON UN 1??? LOTTO GIA' ATTIVATO DALLA REGIONE MOLISE, PER 150,00 MILIONI DI EURO;Ml;9.820,00;1;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;45233120-6;No;13.834.000,00;6.559.000,00;7.275.000,00;Si;7.275.000,00;52,59;N;null;7.275,00;7.275,00;Si;Si;null;null;null;null;null;Si;No;Si;No;No;Si;No;null;null;In progetto per l'opera;Si;Si;2002;19/09/2013;null;STRADA DI COLLEGAMENTO DEL COMUNE DI CASTELMAURO CON LA FONDOVALLE DEL BIFERNO - LOTTO DI COMPLETAMENTO;No;null;VARIE;99;LEGGE N. 64/1986 - DELIBERAZIONI CIPE 21.12.1989 E 13.04.1994 - STRALCIO AL III??? P.A.A.;1??? ATTO INTEGRATIVO DELLA INTESA GENERALE QUADRO DEL 03.06.2004;Art.4 c. 2 Lett. e);null;8,20E+31;41.8626010491253;14.7643678021658
Regione Molise;2016;H55E10000010003;null;Regionale;Amministrazione Provinciale di Isernia;80051970947;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;6;MANUTENZIONE ORDINARIA;14094023;null;Regionale;Realizzazione opere di adeguamento normativo al fine dell'ottenimento del certificato di prevenzione incendi per la sede centrale dell'Ente sita in via Berta - I??? Stralcio - Antincendio Idrico;INTERVENTI DI MESSA IN SICUREZZA SEDE PROVINCIALE E  SALA POLIFUNZIONALE - MANUTENZIONE ASCENSORI;Mq;1.000,00;5;33;DIREZIONALI E AMMINISTRATIVE;3;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;45400000-1;No;250.000,00;250.000,00;31.787,71;Si;500.000,00;4,24;N;null;250,00;250,00;null;null;Si;null;null;null;null;Si;null;null;null;null;Si;No;null;null;In progetto per l'opera;No;null;2010;06/07/2010;null;PALAZZO DELLA PROVINCIA;No;null;VIA BERTA;99;PROGRAMMA LL.PP. ANNO 2010;null;Art.4 c. 2 Lett. e);null;8,01E+31;41.6072460469527;14.2161795066126
Regione Molise;2016;f29g03000090002;null;Regionale;"COMUNITA' MONTANA ""TRIGNO - MONTE MAURO""";82004200703;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;14070050;ITF22;Regionale;REALIZZAZIONE DELLA PISCINA COMUNITARIA IN AGRO DI PALATA (CB);LOTTO DI COMPLETAMENTO PISCINA COMUNITARIA - REALIZZAZIONE COPERTURA ED OPERE DI FINITURA;Mq;1.000,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;45212212-5;No;890.000,00;890.000,00;590.000,00;Si;300.000,00;49,58;N;null;300,00;300,00;null;Si;null;null;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2003;19/09/2013;06/12/2007;REALIZZAZIONE DELLA PISCINA COMUNITARIA IN AGRO DI PALATA (CB) - LOTTO DI COMPLETAMENTO;No;null;CONTRADA PIANA DEI GRECI;99;Programma Regionale di Sviluppo - REGIONE MOLISE;PER IL LOTTO DI COMPLETAMENTO ??? STATO RICHIESTO IL FINANZIAMENTO ALLA REGIONE MOLISE CON NOTA PROT. N. 2053 DEL 12.10.2010;Art.4 c. 2 Lett. g);null;8,20E+31;41.8744818851959;14.8181051418464
Regione Molise;2016;B21B05000160002;null;Regionale;PROVINCIA DI CAMPOBASSO;139600704;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;14070004;ITF22;Regionale;COMPLETAMENTO STRADA DI COLLEGAMENTO F.V. BIFERNO - CASACALENDA - BIVIO DI BONEFRO.;COMPLETAMENTO STRADA DI COLLEGAMENTO F.V. BIFERNO - CASACALENDA - BIVIO DI BONEFRO;Ml;800,00;1;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;1.727.882,71;1.002.378,26;649.144,00;Si;370.000,00;47,3;null;null;2.065,83;2.065,83;null;Si;null;null;null;null;null;No;Si;No;No;No;No;Si;null;null;In progetto per l'opera;Si;No;2005;05/10/2005;null;null;No;null;null;99;APQ - ID N. 37 CODEICE SCHEDA N. 1834/14;APQ - ID N. 37 CODEICE SCHEDA N. 1834/14;Art.4 c. 2 Lett. g);null;1,40E+27;41.710108232125;14.9172363649784
Regione Molise;2016;D78G05000180002;null;Regionale;CONSORZIO DI BONIFICA DELLA PIANA DI VENAFRO;80001650946;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;14094025;ITF21;Nazionale;Vasca di espansione sul Fiume Cavaliere in localit??? Fossatella;COMPLETAMENTO DELLE OPERE DI SCARICO DELLA DIGA, REALIZZAZIONE DEL PARAMENTO DEL CANALE FUGATORE IN DX E DELLA RELATIVA PIASTRA DI FONDAZIONE, IL COMPLETAMENTO DELLE OPERE PREVISTE DI RESTITUZIONE IN ALVEO E VARIE.;Mc;300.000,00;2;5;DIFESA DEL SUOLO;121;DIFESA DEL SUOLO E REGIMAZIONE ACQUE;45247000-0;No;47.520.280,14;29.407.724,42;15.067.474,38;Si;8.559.845,30;39,69;N;null;13.000,00;13.000,00;null;Si;null;null;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2005;17/11/2008;null;VASCA DI ESPANSIONE SUL TORRENTE CAVALIERE IN LOCALITA' FOSSATELLA;No;null;VIA LOCALITA' FOSSATELLA;1;DELIBERA CIPE DEL 27/05/2005 N? 35 E DELIBERA CIPE N? 14 DEL 22/03/2006;null;Art.4 c. 2 Lett. g);null;8,00E+31;41.5742841698705;14.1708991666196
